,Place,Categories,Rating,Review Title,Review Body
56,Thamel,Neighborhoods,4,Center of the city,"Nice and interesting, but busy, crowded and animated, for some night life, that sector is recommanded, otherwise many restaurants in the areas, lots of stores for trekking material, or buddhist artefacts"
57,Thamel,Neighborhoods,4,Crowded but pitoresque,"We did not stay in Thamel, but stopped by for an afternoon. Interestingly, similar merchandise was carried by stores clustered next to each other making shopping for specific items very convenient (we were looking for scarves). Apart from that, as pedestrians we had to keep being on the lookout for cars that were rushing through the narrow streets. It was noisy, and dynamic, and found it good for a day adventure but not to our preference for an overnight stay."
58,Thamel,Neighborhoods,4,Hangout Zone of Kathmandu,best place for chill hangout and stay in Kathmandu Nepal. You can find good food and drinks in Thamel. Heart of the Kathmandu City
59,Thamel,Neighborhoods,4,Too many shops,There are so many shops here and they all want your business but it is a must visit place.  Remember to barter
60,Garden of Dreams,Gardens,4.5,a popular oasis near Thamel,"Sadly, the teahouse/restaurant inside has closed, but the garden is still a restful little park, with some nice architectural features, and a good place to retreat from the hubbub of the surrounding streets.  There are cute little striped squirrels scurrying around the flower beds, which will give some entertainment."
61,Garden of Dreams,Gardens,4.5,Oasis in the City,The Garden of Dreams is a lovely peaceful garden in the middle of bustling Kathmandu. Entry Nrs 200 pp. Well worth visiting on the way to Thamel.
62,Garden of Dreams,Gardens,4.5,Nice Gardens,The gardens were very pretty and we enjoyed this little oasis in the middle of the hustle and bustle of Kathmandu.
63,Garden of Dreams,Gardens,4.5,Fine place but not soecial,"It was nice, but a bit of a disappointment.  Noisier than expected. A small garden, filthy bathrooms in spite of a high (for here) entrance fee. Some pretty flowers and a nice display left over from Dewali"
64,Garden of Dreams,Gardens,4.5,nice garden,"very nice garden even now the cafe is not exist anymore since pandemic time they said, i hope the cafe is open when we are back next year"
65,Garden of Dreams,Gardens,4.5,"Overpriced, dirty toilets, very rude manager, super disrespectful towards the visitors.","Overpriced, dirty toilets, very rude manager, super disrespectful towards the visitors.*This was the worst experience in Nepal. Of course, the price for a little garden, as a lot of people have already mentioned, is way too high. But I was willing to pay it, because I needed some quite place in busy Kathmandu (to film myself, a video for my work). I was very quiet, sitting on a bench in the corner. But the stuff came and asked me to stop. They took me to the manager and he was extremely rude. They made a problem out of nothing (because everyone is filming there and taking selfies non-stop). But I was talking on camera, so this is, apparently, not allowed. Anyways, the rules are the rules (even if completely strange and stupid), but they were rude to me, spoiled my day and refused to return me my money for the visit. I felt that they don't care much about the customers and that they were disrespectful and the whole visit left me in a worst mood for the rest of the day. This is not a good service and this is definitely has nothing to do with hospitality, which should be present in a touristic places like this."
66,Garden of Dreams,Gardens,4.5,Heavenly oasis in the madness of Kathmandu,An excellent spot to sit and relax in an otherwise hectic Kathmandu. Very quiet and peaceful and worth the small entry fee for sure. Bring a book and enjoy the calm!
67,Garden of Dreams,Gardens,4.5,Still as peaceful as before,"Silent, serene and peaceful; there are the words that would be best to describe this place. IN my previous trips to Nepal, Garden of Dreams was my my go to place to just refresh myself from the hustle and bustle of the city, all the activities and just find a quiet time for myself. Returning here after Covid, I am glad to say that not much has changed and it still offers a peaceful place  like it used to before."
68,Garden of Dreams,Gardens,4.5,Not interesting - quite small for its price,"This is one of those places that may be interesting if it's in your hometown, but traveling so far (many of us make +7000 km) and spending time seeing this... I don't think it's a good use of the time. I found it generic and not interesting. Also the price was way too high considering its size and the price of other tourist attractions."
69,Garden of Dreams,Gardens,4.5,a place where you can chill,"apart from busy traffic outside, just being here is a different atmosphere.surrounded with big trees , different design of the buildings make us feel so comfortable, just sit and reading book or doing meditation"
70,Namo Buddha (Stupa),Religious Sites,4.5,Namo Buddha,This holy pilgrimage place is like spending a day in the heavens. The history and holiness permeates the air.
71,Namo Buddha (Stupa),Religious Sites,4.5,STUPA VISIT - and SURROUNDING AREA INTERESTING,The Stupa was beautiful set in a very nice area for local shops and also a monastery.  The visit to the monastery was a real treat with the young children in school.  We witnessed the Monks doing their prayers.  The area was clean and we felt safe.  Bought items from several stores.
72,Namo Buddha (Stupa),Religious Sites,4.5,Peaceful Walk,"We walked from the main road up through the hills and fields, lovely escape from Kathmandu, so peaceful with fresh air and an interesting take on a historical stupa."
73,Namo Buddha (Stupa),Religious Sites,4.5,most place to visit,been here recent visit and this place is quiet nice for the natural and love to see the stupa. one of the best place to visit again.
74,Namo Buddha (Stupa),Religious Sites,4.5,Hiking,Really good place for hiking. We enjoy our trip there. Environment people atmosphere are really good 
75,Namo Buddha (Stupa),Religious Sites,4.5,name,"one of the best stupas for the blessings of lord Buddha. amazing, peaceful and blissful. a must visit when in Kathmandu"
76,Namo Buddha (Stupa),Religious Sites,4.5,One of the good place,One of the good place to hangout with our colleagues. Peace and prosperity. Om mane pambe hum. Budham saranam gatchyami.
77,Namo Buddha (Stupa),Religious Sites,4.5,The eastern Jewels of Nepal,"Its location is comparatively far from the Kathmandu city, but after reaching over there, its just marvelous. Spectacular  views and the real jewels of Buddhism."
78,Namo Buddha (Stupa),Religious Sites,4.5,Excellent Day Trip,"The location was quite far from Kathmandu's main city. We had been here for a family dry picnic. This place is an important Buddhist pilgrimage site in Nepal. Namo Buddha is the best place for refreshment, a magnificent view of nature and many other natural things."
79,Namo Buddha (Stupa),Religious Sites,4.5,Om Maane PAdme hummm,Excellent place for the peace lovers... Enchanting mantras and Monks behavior was just incredible. We felt so calm at this place
80,Kathmandu Durbar Square,Historic Sites,4,Durbar Square,"Durbar Square is a very interesting site in Kathmandu.  Entry NRs 1000 pp. Many old buildings and religious sites, some damaged by earthquakes. Interesting museum. Well worth visiting."
81,Kathmandu Durbar Square,Historic Sites,4,Historical palace and temples to visit,"It was a little crowded when I arrived here, nevertheless, I thought the place is unique and interesting. Temples being rebuilt and others were restored. Although it was overwhelming for me (pigeons everywhere), I was able to see the beauty of this place. Its best to have a tour guide who will explain to you the history of this place. Lots of nice architecture"
82,Kathmandu Durbar Square,Historic Sites,4,A World Heritage site worth visiting,The Durbar square of Kathmandu contains 48 temples the most famous of which houses the Kumari or the Living Goddess. Kindly take a guide to know the historical significance of the various temples. There is an entry fee to this place and should take about one hour.
83,Kathmandu Durbar Square,Historic Sites,4,An interesting spot to spend a few hours,A very interesting and historic spot in Kathmandu. Yes you pay 1000 to enter but that goes towards supporting its restoration and there is a lot to see while youre in there. Id recommend going for lunch / a coffee at one of the restaurants in the square while youre there and watching the world go by in this historic setting
84,Kathmandu Durbar Square,Historic Sites,4,first impression - awesome,admired with all the wood craft and detail in it.each temples belongs to goddes and the stories behind it.
85,Kathmandu Durbar Square,Historic Sites,4,PLEASE AVOID! Harassed non stop!,"Sorry to say but PLEASE AVOID! Harassed non stop by official guides, really really unpleasently. Lots of children also sent out to beg from tourists. Worst expirience within Nepal. High upfront cost of 1000 NRP per person, we had to evacuate withing 10min because of the nonstop harrasement."
86,Kathmandu Durbar Square,Historic Sites,4,Don't waste your money going there,It is a horrible mess as a result of the earthquake and you have to pay a lot of money to walk around what is a construction site. Patan's Durbar square is much better
87,Kathmandu Durbar Square,Historic Sites,4,Basantapur Durbar Square,"Historical place to visit , antique place such a maze visit once when you will be in ktm , basantapur Durbar Square "
88,Kathmandu Durbar Square,Historic Sites,4,lots of temple and really beautiful,Kathmandu Durbar Square is located in front of the old royal palace of the former Kathmandu Kingdom. This place is really beautiful.
89,Kathmandu Durbar Square,Historic Sites,4,"Durbar square, lots of temple","I read the name of 19 temples on description of this very famous sqare, next to Freak street, very popular during the 1960, 70's, 80's, then the tourists started moving towards Thamel, but this place is one of the emblematic sqare in the city, World Heritage site, some temples were destroyed during the 2015 earthquake, still not entirely rebuild today, but the visit is surely worth it, a must in fact"
90,Asan,Flea & Street Markets,4.5,Not for the faint of heart!,"If you are new to large Asian and middle eastern markets, hang onto your hat (and your belongings)!  This bazaar is a wild experience, even for the well-heeled global traveler.  You will be packed shoulder to shoulder with bikes, cars, fruit carts, and other people--to name a few things!  But the noise, sights, and stalls will be something to remember.  Sensory overload for sure!  What can't you find at this bazaar?Recommend keeping your money close and do not bother with a large camera/any camera.Be brave and give it a try!  It is sure to result in a story."
91,Asan,Flea & Street Markets,4.5,Large local bazaar near Thamel,"Quite the place. Really crowded but people are nice and keeping some distance while walking. Got to experience the evening bazaar too. Went there again today and the place has all kinds of shops. Starting from clothing, shoes to food, masala etc."
92,Asan,Flea & Street Markets,4.5,Typical Market - one must visit.,Ancient traditional market within residential square located central of Kathmandu and easily accessible from the Touristic Hub Thamel and Kathmandu Durbar square. This is one of the recommeded local spice market for spice lovers.
93,Asan,Flea & Street Markets,4.5,Energetic,Visited twice. Very clean. Best to wander lanes & get lost amongst people & stalls. Amazing bargains on numerous items.
94,Asan,Flea & Street Markets,4.5,Like nowhere else!,"In terms of sheer throng and urban craziness, this area of Kathmandu outdoes Accra, Bangkok, Colombo, Delhi, and everywhere else through the whole alphabet! The rules and distinctions of traffic, trade and pedestrians are utterly blurred and though its thoroughly exhausting, its also pretty thrilling to be caught up in! Some great shopping to be found too, away from the higher prices of Thamel."
95,Asan,Flea & Street Markets,4.5,So colorful !!,"I was there on the eve of Diwali festival, that area was full of stalls and people, I was stuck there for a while because it was too many motorbikes and people crossing from all corners, I found it difficult to move."
96,Asan,Flea & Street Markets,4.5,Very busy area,The Annapurna temple is beautiful and all around it are some very busy streets. I walked from Naya Bazaar to Asan to Durban Square to the Monkey temple and back and didnt get lost at all. Prices are keen but as a dentist area I may wait until I get home
97,Asan,Flea & Street Markets,4.5,Welcome to the market and the caos,"Really good place to feel the real nepali life with all the motorbikes, cars and people selling all kind of things in a narrow streets where you can get lose.If you look around you can even find streets where the motorbikes can not go inside, because is to narrow, and that give you a breathe from all the noise.However you can find all kind of staff, food, clothes, jewerely,... I truly recommend this place you will enjoy it a lot"
98,Asan,Flea & Street Markets,4.5,The Durbar Square,The market is over populated and busiest point in Kathmandu. The place contains relics of temples which are being restored on a daily basis.
99,Asan,Flea & Street Markets,4.5,a real local shopping experience,"it is the perfect place if you want to have a local shopping experience. it is very busy and crowded but it is a very interesting place and the prices there cheaper than elsewhere.i loved it because i could find what i wanted: Sari. it is an immense and a wild variety of sari and all fabrics, i bought sari in India and in Sri Lanka but here is cheaper and nicer.while walking through, you'll smell strange smells but i really did not pay attention to these details because i was focusing on the variety of products and the artisanal stuff.the price you are told, pay only 60% of it, you have to bargainaround, there are lot of coffee shops and restaurants"
100,Shivapuri Nagarjun National Park,National Parks,4.5,100% disappointing.,"4000 rupees with a guide, 2000 rupees without a guide just to see a pollute valley below.  100% not worth it.  There must be a better way to spend the day."
101,Shivapuri Nagarjun National Park,National Parks,4.5,Jungle Experience,"We went on hike around the National Park in the winter season.We saw Hog Plum plants everywhere which can only be found in Nepal.Best for a jungle experience and nature getaways. Rock climbing is one of the activities, that park offers.I would suggest to walk with a guide as the hiking trails go deep into the forest.Waterfalls and small river streams can be seen on the way."
102,Shivapuri Nagarjun National Park,National Parks,4.5,Scam for tourists/foreigners!,"They are absolutely shameless! I get it that tourist should pay more, and a price of 1000 npr  (per day) for foreigners is okay for the entrance. But they won't let you in the park without a guide for a hiking trip of 6 hours. So they said we have to pay 5500 npr (2 persons, 21000 npr entry and 3500 npr for a guide; last offer was 3750 npr) for a little hike of only 6 hours. By the way: Nepalis are paying only for the entrance and they don't even need a guide. For Langtang you only pay 3000 npr for 15 days and you don't need a guide. I'm really sure that they are trying to scam tourist. Sad to watch and impressive how confident they are while talking such a bullsh/t."
103,Shivapuri Nagarjun National Park,National Parks,4.5,my home for a year,lived in there for a year. loved the serenity and the view. from the top of the Shivpuri pick u can see a great view. loved the place always.
104,Shivapuri Nagarjun National Park,National Parks,4.5,'Paradise Within Reach',"The only remaining serene, natural and beautiful park within 15 kilometers from kathmandu centre. never miss."
105,Shivapuri Nagarjun National Park,National Parks,4.5,Nature and Beauty,"I visited this park with a group of friend for picnic (just before getting inside the park) followed by short hiking. It is a dense, lush green and well preserved national park which is protected for watershed and wildlife reserve. Well secured by the Nepal Army and people have to pay an entrance fees to get inside. There are some resorts, restaurants etc. closed to park area that provides a great opportunity to visitors to enjoy fully. A must to visit place and enjoy hiking, forest fun, great flora and fauna and if lucky enough chances to some animals as well."
106,Shivapuri Nagarjun National Park,National Parks,4.5,An awesome place for a short trip away from madness of KTM and a day hike,"I arranged to go there with a company I used two years ago so I had my guide. It was only to make my life easier having one day. You can do it on your own - bus trips take longer. It costs 1050 for a foreigner to enter the park as you need a local guide. The guide I spoke with was smart - he happily took the 1000 rupee fee but said that as I have my guide he does not have to go. Fair enough - less noise on the way up. They say that the hike to Nagi Gompa - Buddhist nunnery takes 2.5h - maybe if you are bird watching as it took us 45 mins - it's only 4km and it's moderately up. As the local guide wanted probably to make more money that day, we were free to hike to the peak, which apparently costs 3000 and not 1000 rupees with a local guide. Just be aware. The entire hike took good 5h - going up from the nunnery side its beautiful, we decided to go down the other side and it was a hit and miss - views were not that good and it's basically hundreds and hundreds of steps - I hate hiking on stairs and my knees paid for this. Just know that there are two ways up to the peak if you want to start and finish in the same place - the one via Nagi Gompa offers beautiful views, the other one (taking left after the entrance to the park) is steeper with unnecessary steps. Have fun - we saw the Langtang Mountain Range and it made my day."
107,Shivapuri Nagarjun National Park,National Parks,4.5,Abundant Wildlife,"The setting of the lodge is the National Park.We went on several treks to see wildlife.There are rhinos,elephants and tons of birds set in their natural habitat.It was amazing to see them in the wild.We had a naturalist on our treks to give us information.It is well worth seeing."
108,Shivapuri Nagarjun National Park,National Parks,4.5,Hike off your jet-lag,Shivapuri Nagarjun National Park offers great day hike and a nice way to shake off the jet lag before heading to base camp or the higher mountains. The forests is beautiful and we saw lots of birds including the Kalij Pheasant. We also saw and heard a bird the locals refer to as the laughing bird but were unable to identify. The stupa at the top was charming. A peaceful place for a lunch.
109,Shivapuri Nagarjun National Park,National Parks,4.5,Hike,Great with guides..  please visit once and make #visitNepal2020 successful. Lots of places still to explore
110,Kailashnath Mahadev,Monuments & Statues,4.5,The Tallest Shiva in the world,"This 144 feet tall statue is the tallest Shiva in the world. Built of cement, copper and zinc, this statue has a very beautiful smiling face of Lord Shiva. It is in Bharkatpur in Nepal. About 2 hr drive from Kathmandu. A nominal entrance fee is levied. The entire location is calm , beautiful and well maintained. A shop selling snacks and artifacts is in place near the statue. A must - see in Nepal."
111,Kailashnath Mahadev,Monuments & Statues,4.5,just a statue,located bit far from ktm and near to bhaktapur. just a statue with nothing nearby. can be a stopover place while going anywhere. not suggested to visit only for it.
112,Kailashnath Mahadev,Monuments & Statues,4.5,Just average,"Dropped by this site on my way to Dhulikel. Just a tall statue overlooking Bhaktapur city, really not very much to see."
113,Kailashnath Mahadev,Monuments & Statues,4.5,Tallest Idol of Lord Shiva in the world,"This place is simply awesome, mesmerising and breathtakingly beautiful. Here one can see the 12 Jyotirlings also. You can spend sum quality time here, away from the hustle bustle of city life, a must see in Nepal."
114,Kailashnath Mahadev,Monuments & Statues,4.5,visit to the Highest Shiva Statute,visit the place with family. nice view of Mountains and lovely surroundings and Fantastic feel of Grand Tall statue of Lord Shiva
115,Kailashnath Mahadev,Monuments & Statues,4.5,143 FT Wonder !!!,"Yes , the tallest Shiva Statue in the world ...a must visit. Its in a place called Sanga and easy to reach. Pls ensure you only go in a car and nothing else."
